0 U (0, 0) [0, 0]
2781 L (1, -16) [1, 1]
2782 U (1, -15) [0, 2]
2783 R (2, -15) [0, 0]
2784 U (2, -14) [1, 1]
2785 R (3, -14) [1, 1]
2786 U (3, -13) [0, 2]
2787 R (4, -13) [1, 1]
2788 D (4, -14) [0, 2]
2789 R (5, -14) [1, 1]
2790 U (5, -13) [1, 1]
2791 L (4, -13) [0, 2]
2792 D (4, -14) [1, 3]
2793 R (5, -14) [0, 2]
2794 D (5, -15) [0, 2]
2795 R (6, -15) [1, 1]
2796 D (6, -16) [1, 1]
2797 R (7, -16) [0, 0]
2798 U (7, -15) [0, 0]
2799 R (8, -15) [0, 0]
2800 U (8, -14) [0, 0]
2801 L (7, -14) [0, 0]
2802 U (7, -13) [0, 0]
2803 L (6, -13) [0, 0]
2804 U (6, -12) [1, 1]
2805 L (5, -12) [1, 1]
2806 U (5, -11) [0, 2]
2807 L (4, -11) [1, 1]
2808 D (4, -12) [0, 0]
2809 L (3, -12) [0, 2]
2810 U (3, -11) [0, 2]
2811 R (4, -11) [0, 2]
2812 D (4, -12) [1, 1]
2813 R (5, -12) [0, 2]
2814 D (5, -13) [0, 2]
2815 R (6, -13) [1, 1]
2816 D (6, -14) [0, 0]
2817 L (5, -14) [1, 3]
2818 U (5, -13) [1, 3]
2819 L (4, -13) [1, 3]
2820 D (4, -14) [0, 4]
2821 L (3, -14) [0, 2]
2822 U (3, -13) [1, 3]
2823 R (4, -13) [0, 4]
2824 D (4, -14) [1, 5]
2825 R (5, -14) [0, 4]
2826 U (5, -13) [0, 4]
2827 R (6, -13) [0, 2]
2828 U (6, -12) [0, 2]
2829 L (5, -12) [1, 3]
2830 U (5, -11) [1, 3]
2831 L (4, -11) [1, 3]
2832 D (4, -12) [0, 2]
2833 R (5, -12) [0, 4]
2834 D (5, -13) [1, 5]
2835 L (4, -13) [1, 5]
2836 D (4, -14) [0, 6]
2837 L (3, -14) [1, 3]
2838 D (3, -15) [0, 0]
2839 L (2, -15) [1, 1]
2840 U (2, -14) [0, 2]
2841 L (1, -14) [0, 4]
2842 D (1, -15) [1, 3]
2843 R (2, -15) [0, 2]
2844 D (2, -16) [1, 1]
2845 L (1, -16) [0, 2]
2846 D (1, -17) [0, 2]
2847 L (0, -17) [1, 3]
2848 U (0, -16) [1, 3]
2849 L (-1, -16) [0, 2]
2850 D (-1, -17) [0, 2]
2851 L (-2, -17) [0, 0]
2852 U (-2, -16) [1, 1]
2853 R (-1, -16) [1, 3]
2854 U (-1, -15) [1, 3]
2855 R (0, -15) [0, 4]
2856 D (0, -16) [0, 4]
2857 L (-1, -16) [0, 4]
2858 D (-1, -17) [1, 3]
2859 L (-2, -17) [1, 1]
2860 D (-2, -18) [0, 0]
2861 L (-3, -18) [0, 0]
2862 U (-3, -17) [1, 1]
2863 R (-2, -17) [0, 2]
2864 U (-2, -16) [0, 2]
2865 L (-3, -16) [0, 2]
2866 U (-3, -15) [1, 1]
2867 L (-4, -15) [0, 0]
2868 U (-4, -14) [0, 0]
2869 L (-5, -14) [0, 0]
2870 D (-5, -15) [0, 0]
2871 L (-6, -15) [0, 0]
2872 U (-6, -14) [0, 0]
2873 L (-7, -14) [0, 0]
2874 U (-7, -13) [0, 0]
2875 R (-6, -13) [0, 0]
2876 D (-6, -14) [1, 1]
2877 L (-7, -14) [1, 1]
2878 D (-7, -15) [0, 0]
2879 L (-8, -15) [0, 0]
2880 U (-8, -14) [0, 0]
2881 R (-7, -14) [0, 2]
2882 D (-7, -15) [1, 1]
2883 R (-6, -15) [1, 1]
2884 U (-6, -14) [0, 2]
2885 R (-5, -14) [1, 1]
2886 U (-5, -13) [0, 0]
2887 L (-6, -13) [1, 1]
2888 U (-6, -12) [0, 0]
2889 R (-5, -12) [0, 0]
2890 D (-5, -13) [1, 1]
2891 R (-4, -13) [0, 0]
2892 D (-4, -14) [1, 1]
2893 L (-5, -14) [0, 2]
2894 D (-5, -15) [1, 1]
2895 R (-4, -15) [1, 1]
2896 D (-4, -16) [1, 1]
2897 R (-3, -16) [1, 3]
2898 D (-3, -17) [0, 2]
2899 L (-4, -17) [1, 1]
2900 D (-4, -18) [0, 0]
2901 R (-3, -18) [1, 1]
2902 U (-3, -17) [1, 3]
2903 R (-2, -17) [1, 3]
2904 U (-2, -16) [1, 3]
2905 R (-1, -16) [1, 5]
2906 D (-1, -17) [0, 4]
2907 R (0, -17) [0, 4]
2908 U (0, -16) [1, 5]
2909 L (-1, -16) [0, 6]
2910 D (-1, -17) [1, 5]
2911 R (0, -17) [1, 5]
2912 D (0, -18) [1, 3]
2913 L (-1, -18) [1, 1]
2914 U (-1, -17) [0, 6]
2915 L (-2, -17) [0, 4]
2916 D (-2, -18) [1, 1]
2917 R (-1, -18) [0, 2]
2918 D (-1, -19) [0, 0]
2919 R (0, -19) [1, 1]
2920 U (0, -18) [0, 4]
2921 L (-1, -18) [1, 3]
2922 U (-1, -17) [1, 7]
2923 R (0, -17) [0, 6]
2924 U (0, -16) [0, 6]
2925 R (1, -16) [1, 3]
2926 U (1, -15) [0, 4]
2927 L (0, -15) [1, 5]
2928 D (0, -16) [1, 7]
2929 R (1, -16) [0, 4]
2930 U (1, -15) [1, 5]
2931 L (0, -15) [0, 6]
2932 D (0, -16) [0, 8]
2933 R (1, -16) [1, 5]
2934 U (1, -15) [0, 6]
2935 R (2, -15) [1, 3]
2936 D (2, -16) [0, 2]
2937 L (1, -16) [0, 6]
2938 D (1, -17) [1, 3]
2939 L (0, -17) [1, 7]
2940 D (0, -18) [1, 5]
2941 L (-1, -18) [0, 4]
2942 U (-1, -17) [0, 8]
2943 R (0, -17) [0, 8]
2944 U (0, -16) [1, 9]
2945 L (-1, -16) [1, 7]
2946 U (-1, -15) [0, 4]
2947 R (0, -15) [1, 7]
2948 U (0, -14) [0, 4]
2949 L (-1, -14) [1, 3]
2950 U (-1, -13) [0, 2]
2951 L (-2, -13) [1, 3]
2952 D (-2, -14) [1, 3]
2953 R (-1, -14) [0, 4]
2954 D (-1, -15) [1, 5]
2955 L (-2, -15) [0, 2]
2956 D (-2, -16) [0, 4]
2957 L (-3, -16) [0, 4]
2958 D (-3, -17) [0, 4]
2959 L (-4, -17) [0, 2]
2960 D (-4, -18) [1, 1]
2961 R (-3, -18) [0, 2]
2962 U (-3, -17) [1, 5]
2963 R (-2, -17) [1, 5]
2964 U (-2, -16) [1, 5]
2965 R (-1, -16) [0, 8]
2966 D (-1, -17) [1, 9]
2967 R (0, -17) [1, 9]
2968 U (0, -16) [0, 10]
2969 R (1, -16) [1, 7]
2970 U (1, -15) [1, 7]
2971 R (2, -15) [0, 4]
2972 D (2, -16) [1, 3]
2973 L (1, -16) [0, 8]
2974 D (1, -17) [0, 4]
2975 R (2, -17) [1, 1]
2976 U (2, -16) [0, 4]
2977 L (1, -16) [1, 9]
2978 U (1, -15) [0, 8]
2979 R (2, -15) [1, 5]
2980 D (2, -16) [1, 5]
2981 L (1, -16) [0, 10]
2982 U (1, -15) [1, 9]
2983 R (2, -15) [0, 6]
2984 D (2, -16) [0, 6]
2985 L (1, -16) [1, 11]
2986 U (1, -15) [0, 10]
2987 R (2, -15) [1, 7]
2988 D (2, -16) [1, 7]
2989 R (3, -16) [0, 0]
2990 U (3, -15) [1, 1]
2991 R (4, -15) [1, 1]
2992 U (4, -14) [1, 7]
2993 R (5, -14) [1, 5]
2994 U (5, -13) [0, 6]
2995 R (6, -13) [1, 3]
2996 D (6, -14) [1, 1]
2997 R (7, -14) [1, 1]
2998 D (7, -15) [1, 1]
2999 L (6, -15) [0, 2]
3000 U (6, -14) [0, 2]
3001 L (5, -14) [0, 6]
3002 D (5, -15) [1, 3]
3003 L (4, -15) [0, 2]
3004 D (4, -16) [1, 1]
3005 R (5, -16) [0, 2]
3006 U (5, -15) [0, 4]
3007 L (4, -15) [1, 3]
3008 U (4, -14) [0, 8]
3009 L (3, -14) [0, 4]
3010 U (3, -13) [0, 4]
3011 R (4, -13) [0, 6]
3012 D (4, -14) [1, 9]
3013 L (3, -14) [1, 5]
3014 D (3, -15) [0, 2]
3015 R (4, -15) [0, 4]
3016 D (4, -16) [0, 2]
3017 L (3, -16) [1, 1]
3018 U (3, -15) [1, 3]
3019 L (2, -15) [0, 8]
3020 U (2, -14) [1, 3]
3021 L (1, -14) [1, 5]
3022 D (1, -15) [1, 11]
3023 L (0, -15) [0, 8]
3024 D (0, -16) [1, 11]
3025 R (1, -16) [0, 12]
3026 D (1, -17) [1, 5]
3027 R (2, -17) [0, 2]
3028 U (2, -16) [0, 8]
3029 L (1, -16) [1, 13]
3030 D (1, -17) [0, 6]
3031 R (2, -17) [1, 3]
3032 D (2, -18) [0, 0]
3033 R (3, -18) [0, 0]
3034 D (3, -19) [0, 0]
3035 R (4, -19) [0, 0]
3036 D (4, -20) [0, 0]
3037 R (5, -20) [0, 0]
3038 D (5, -21) [0, 0]
3039 L (4, -21) [0, 0]
3040 D (4, -22) [0, 0]
3041 L (3, -22) [0, 0]
3042 D (3, -23) [0, 0]
3043 L (2, -23) [0, 0]
3044 U (2, -22) [0, 0]
3045 R (3, -22) [1, 1]
3046 U (3, -21) [0, 0]
3047 R (4, -21) [1, 1]
3048 U (4, -20) [1, 1]
3049 L (3, -20) [0, 0]
3050 U (3, -19) [1, 1]
3051 L (2, -19) [1, 1]
3052 D (2, -20) [1, 1]
3053 R (3, -20) [1, 1]
3054 U (3, -19) [0, 2]
3055 R (4, -19) [1, 1]
3056 D (4, -20) [0, 2]
3057 L (3, -20) [0, 2]
3058 D (3, -21) [1, 1]
3059 L (2, -21) [0, 0]
3060 U (2, -20) [0, 2]
3061 L (1, -20) [0, 2]
3062 D (1, -21) [1, 1]
3063 L (0, -21) [1, 1]
3064 U (0, -20) [1, 1]
3065 L (-1, -20) [0, 0]
3066 D (-1, -21) [0, 0]
3067 L (-2, -21) [0, 0]
3068 U (-2, -20) [0, 0]
3069 L (-3, -20) [0, 0]
3070 U (-3, -19) [0, 0]
3071 R (-2, -19) [0, 0]
3072 D (-2, -20) [1, 1]
3073 L (-3, -20) [1, 1]
3074 U (-3, -19) [1, 1]
3075 R (-2, -19) [1, 1]
3076 U (-2, -18) [0, 2]
3077 R (-1, -18) [1, 5]
3078 U (-1, -17) [0, 10]
3079 R (0, -17) [0, 10]
3080 D (0, -18) [0, 6]
3081 L (-1, -18) [0, 6]
3082 U (-1, -17) [1, 11]
3083 R (0, -17) [1, 11]
3084 D (0, -18) [1, 7]
3085 L (-1, -18) [1, 7]
3086 U (-1, -17) [0, 12]
3087 R (0, -17) [0, 12]
3088 U (0, -16) [0, 12]
3089 R (1, -16) [0, 14]
3090 D (1, -17) [1, 7]
3091 R (2, -17) [0, 4]
3092 D (2, -18) [1, 1]
3093 L (1, -18) [0, 2]
3094 D (1, -19) [0, 2]
3095 R (2, -19) [0, 2]
3096 U (2, -18) [0, 2]
3097 R (3, -18) [1, 1]
3098 U (3, -17) [0, 0]
3099 R (4, -17) [1, 1]
3100 U (4, -16) [1, 3]
3101 R (5, -16) [1, 3]
3102 U (5, -15) [1, 5]
3103 R (6, -15) [1, 3]
3104 U (6, -14) [1, 3]
3105 L (5, -14) [1, 7]
3106 D (5, -15) [0, 6]
3107 L (4, -15) [1, 5]
3108 U (4, -14) [0, 10]
3109 R (5, -14) [0, 8]
3110 U (5, -13) [1, 7]
3111 R (6, -13) [0, 4]
3112 U (6, -12) [1, 3]
3113 R (7, -12) [0, 0]
3114 U (7, -11) [1, 1]
3115 R (8, -11) [0, 0]
3116 U (8, -10) [0, 0]
3117 R (9, -10) [0, 0]
3118 U (9, -9) [0, 0]
3119 R (10, -9) [0, 0]
3120 D (10, -10) [0, 0]
3121 R (11, -10) [0, 0]
3122 D (11, -11) [0, 0]
3123 R (12, -11) [0, 0]
3124 D (12, -12) [0, 0]
3125 R (13, -12) [0, 0]
3126 D (13, -13) [0, 0]
3127 L (12, -13) [0, 0]
3128 U (12, -12) [1, 1]
3129 L (11, -12) [0, 0]
3130 U (11, -11) [1, 1]
3131 L (10, -11) [0, 0]
3132 U (10, -10) [1, 1]
3133 L (9, -10) [1, 1]
3134 D (9, -11) [0, 0]
3135 L (8, -11) [1, 1]
3136 D (8, -12) [0, 0]
3137 L (7, -12) [1, 1]
3138 D (7, -13) [1, 1]
3139 L (6, -13) [1, 5]
3140 D (6, -14) [0, 4]
3141 R (7, -14) [0, 2]
3142 D (7, -15) [0, 2]
3143 R (8, -15) [1, 1]
3144 D (8, -16) [0, 0]
3145 L (7, -16) [1, 1]
3146 U (7, -15) [1, 3]
3147 L (6, -15) [0, 4]
3148 D (6, -16) [0, 2]
3149 R (7, -16) [0, 2]
3150 U (7, -15) [0, 4]
3151 R (8, -15) [0, 2]
3152 D (8, -16) [1, 1]
3153 R (9, -16) [0, 0]
3154 U (9, -15) [0, 0]
3155 R (10, -15) [0, 0]
3156 U (10, -14) [0, 0]
3157 L (9, -14) [0, 0]
3158 U (9, -13) [0, 0]
3159 R (10, -13) [0, 0]
3160 D (10, -14) [1, 1]
3161 R (11, -14) [0, 0]
3162 D (11, -15) [0, 0]
3163 R (12, -15) [0, 0]
3164 D (12, -16) [0, 0]
3165 L (11, -16) [0, 0]
3166 U (11, -15) [1, 1]
3167 L (10, -15) [1, 1]
3168 D (10, -16) [0, 0]
3169 L (9, -16) [1, 1]
3170 D (9, -17) [0, 0]
3171 R (10, -17) [0, 0]
3172 D (10, -18) [0, 0]
3173 L (9, -18) [0, 0]
3174 U (9, -17) [1, 1]
3175 L (8, -17) [0, 0]
3176 U (8, -16) [0, 2]
3177 L (7, -16) [1, 3]
3178 U (7, -15) [1, 5]
3179 L (6, -15) [1, 5]
3180 U (6, -14) [1, 5]
3181 L (5, -14) [1, 9]
3182 D (5, -15) [1, 7]
3183 R (6, -15) [0, 6]
3184 D (6, -16) [1, 3]
3185 L (5, -16) [0, 4]
3186 U (5, -15) [0, 8]
3187 R (6, -15) [1, 7]
3188 D (6, -16) [0, 4]
3189 R (7, -16) [0, 4]
3190 U (7, -15) [0, 6]
3191 L (6, -15) [0, 8]
3192 D (6, -16) [1, 5]
3193 L (5, -16) [1, 5]
3194 D (5, -17) [1, 1]
3195 L (4, -17) [0, 2]
3196 U (4, -16) [0, 4]
3197 R (5, -16) [0, 6]
3198 U (5, -15) [1, 9]
3199 L (4, -15) [0, 6]
3200 U (4, -14) [1, 11]
3201 L (3, -14) [0, 6]
3202 U (3, -13) [1, 5]
3203 R (4, -13) [1, 7]
3204 D (4, -14) [0, 12]
3205 R (5, -14) [0, 10]
3206 D (5, -15) [0, 10]
3207 L (4, -15) [1, 7]
3208 D (4, -16) [1, 5]
3209 L (3, -16) [0, 2]
3210 U (3, -15) [0, 4]
3211 L (2, -15) [1, 9]
3212 D (2, -16) [1, 9]
3213 L (1, -16) [1, 15]
3214 U (1, -15) [0, 12]
3215 R (2, -15) [0, 10]
3216 D (2, -16) [0, 10]
3217 L (1, -16) [0, 16]
3218 D (1, -17) [0, 8]
3219 R (2, -17) [1, 5]
3220 U (2, -16) [1, 11]
3221 L (1, -16) [1, 17]
3222 U (1, -15) [1, 13]
3223 R (2, -15) [1, 11]
3224 D (2, -16) [0, 12]
3225 L (1, -16) [0, 18]
3226 U (1, -15) [0, 14]
3227 R (2, -15) [0, 12]
3228 D (2, -16) [1, 13]
3229 R (3, -16) [1, 3]
3230 D (3, -17) [1, 1]
3231 L (2, -17) [0, 6]
3232 D (2, -18) [1, 3]
3233 L (1, -18) [1, 3]
3234 U (1, -17) [1, 9]
3235 L (0, -17) [1, 13]
3236 D (0, -18) [0, 8]
3237 L (-1, -18) [0, 8]
3238 U (-1, -17) [1, 13]
3239 R (0, -17) [0, 14]
3240 U (0, -16) [1, 13]
3241 R (1, -16) [1, 19]
3242 U (1, -15) [1, 15]
3243 R (2, -15) [1, 13]
3244 D (2, -16) [0, 14]
3245 R (3, -16) [0, 4]
3246 U (3, -15) [1, 5]
3247 L (2, -15) [0, 14]
3248 U (2, -14) [0, 4]
3249 L (1, -14) [0, 6]
3250 U (1, -13) [1, 3]
3251 R (2, -13) [1, 3]
3252 D (2, -14) [1, 5]
3253 L (1, -14) [1, 7]
3254 U (1, -13) [0, 4]
3255 R (2, -13) [0, 4]
3256 D (2, -14) [0, 6]
3257 R (3, -14) [1, 7]
3258 U (3, -13) [0, 6]
3259 R (4, -13) [0, 8]
3260 D (4, -14) [1, 13]
3261 L (3, -14) [0, 8]
3262 D (3, -15) [0, 6]
3263 R (4, -15) [0, 8]
3264 U (4, -14) [0, 14]
3265 R (5, -14) [1, 11]
3266 U (5, -13) [0, 8]
3267 R (6, -13) [0, 6]
3268 U (6, -12) [0, 4]
3269 R (7, -12) [0, 2]
3270 D (7, -13) [0, 2]
3271 R (8, -13) [0, 0]
3272 D (8, -14) [1, 1]
3273 R (9, -14) [1, 1]
3274 U (9, -13) [1, 1]
3275 L (8, -13) [1, 1]
3276 U (8, -12) [1, 1]
3277 L (7, -12) [1, 3]
3278 D (7, -13) [1, 3]
3279 R (8, -13) [0, 2]
3280 D (8, -14) [0, 2]
3281 L (7, -14) [1, 3]
3282 D (7, -15) [1, 7]
3283 L (6, -15) [1, 9]
3284 U (6, -14) [0, 6]
3285 L (5, -14) [0, 12]
3286 D (5, -15) [1, 11]
3287 L (4, -15) [1, 9]
3288 U (4, -14) [1, 15]
3289 R (5, -14) [1, 13]
3290 U (5, -13) [1, 9]
3291 L (4, -13) [1, 9]
3292 U (4, -12) [1, 3]
3293 R (5, -12) [1, 5]
3294 D (5, -13) [0, 10]
3295 L (4, -13) [0, 10]
3296 U (4, -12) [0, 4]
3297 L (3, -12) [1, 3]
3298 U (3, -11) [1, 3]
3299 R (4, -11) [0, 4]
3300 U (4, -10) [1, 3]
3301 R (5, -10) [0, 4]
3302 U (5, -9) [0, 4]
3303 L (4, -9) [0, 4]
3304 D (4, -10) [0, 4]
3305 L (3, -10) [0, 2]
3306 U (3, -9) [1, 5]
3307 L (2, -9) [1, 5]
3308 U (2, -8) [1, 7]
3309 R (3, -8) [1, 7]
3310 U (3, -7) [0, 8]
3311 L (2, -7) [1, 9]
3312 D (2, -8) [0, 8]
3313 L (1, -8) [0, 4]
3314 U (1, -7) [0, 6]
3315 R (2, -7) [0, 10]
3316 D (2, -8) [1, 9]
3317 L (1, -8) [1, 5]
3318 U (1, -7) [1, 7]
3319 R (2, -7) [1, 11]
3320 D (2, -8) [0, 10]
3321 L (1, -8) [0, 6]
3322 D (1, -9) [0, 2]
3323 L (0, -9) [0, 4]
3324 U (0, -8) [1, 5]
3325 L (-1, -8) [0, 4]
3326 U (-1, -7) [1, 7]
3327 R (0, -7) [0, 6]
3328 U (0, -6) [0, 8]
3329 L (-1, -6) [0, 10]
3330 D (-1, -7) [0, 8]
3331 L (-2, -7) [0, 4]
3332 U (-2, -6) [0, 8]
3333 R (-1, -6) [1, 11]
3334 U (-1, -5) [1, 11]
3335 R (0, -5) [0, 10]
3336 D (0, -6) [1, 9]
3337 L (-1, -6) [0, 12]
3338 U (-1, -5) [0, 12]
3339 R (0, -5) [1, 11]
3340 U (0, -4) [1, 7]
3341 L (-1, -4) [1, 7]
3342 D (-1, -5) [1, 13]
3343 R (0, -5) [0, 12]
3344 U (0, -4) [0, 8]
3345 L (-1, -4) [0, 8]
3346 U (-1, -3) [1, 3]
3347 R (0, -3) [1, 3]
3348 U (0, -2) [1, 1]
3349 L (-1, -2) [1, 1]
3350 U (-1, -1) [0, 0]
3351 L (-2, -1) [1, 1]
3352 U (-2, 0) [1, 1]
3353 R (-1, 0) [1, 3]
3354 U (-1, 1) [1, 3]
3355 L (-2, 1) [1, 1]
3356 D (-2, 0) [0, 2]
3357 R (-1, 0) [0, 4]
3358 U (-1, 1) [0, 4]
3359 L (-2, 1) [0, 2]
3360 D (-2, 0) [1, 3]
3361 R (-1, 0) [1, 5]
3362 D (-1, -1) [1, 1]
3363 L (-2, -1) [0, 2]
3364 D (-2, -2) [1, 1]
3365 L (-3, -2) [1, 1]
3366 U (-3, -1) [1, 1]
3367 L (-4, -1) [1, 1]
3368 D (-4, -2) [0, 2]
3369 L (-5, -2) [0, 2]
3370 U (-5, -1) [0, 2]
3371 L (-6, -1) [1, 1]
3372 U (-6, 0) [1, 1]
3373 R (-5, 0) [1, 3]
3374 U (-5, 1) [0, 2]
3375 L (-6, 1) [0, 0]
3376 D (-6, 0) [0, 2]
3377 R (-5, 0) [0, 4]
3378 U (-5, 1) [1, 3]
3379 L (-6, 1) [1, 1]
3380 D (-6, 0) [1, 3]
3381 R (-5, 0) [1, 5]
3382 D (-5, -1) [1, 3]
3383 L (-6, -1) [0, 2]
3384 D (-6, -2) [1, 1]
3385 R (-5, -2) [1, 3]
3386 U (-5, -1) [0, 4]
3387 R (-4, -1) [0, 2]
3388 D (-4, -2) [1, 3]
3389 L (-5, -2) [0, 4]
3390 D (-5, -3) [0, 2]
3391 R (-4, -3) [1, 1]
3392 D (-4, -4) [1, 1]
3393 L (-5, -4) [1, 1]
3394 D (-5, -5) [0, 0]
3395 R (-4, -5) [1, 1]
3396 D (-4, -6) [0, 0]
3397 L (-5, -6) [0, 0]
3398 U (-5, -5) [1, 1]
3399 R (-4, -5) [0, 2]
3400 D (-4, -6) [1, 1]
3401 R (-3, -6) [1, 3]
3402 D (-3, -7) [1, 1]
3403 L (-4, -7) [0, 0]
3404 D (-4, -8) [1, 1]
3405 R (-3, -8) [1, 1]
3406 D (-3, -9) [1, 1]
3407 R (-2, -9) [0, 2]
3408 D (-2, -10) [1, 7]
3409 L (-3, -10) [1, 1]
3410 D (-3, -11) [1, 3]
3411 L (-4, -11) [1, 1]
3412 U (-4, -10) [1, 1]
3413 R (-3, -10) [0, 2]
3414 D (-3, -11) [0, 4]
3415 R (-2, -11) [1, 9]
3416 D (-2, -12) [1, 5]
3417 L (-3, -12) [1, 3]
3418 D (-3, -13) [0, 2]
3419 R (-2, -13) [0, 4]
3420 U (-2, -12) [0, 6]
3421 L (-3, -12) [0, 4]
3422 D (-3, -13) [1, 3]
3423 L (-4, -13) [1, 1]
3424 D (-4, -14) [0, 2]
3425 L (-5, -14) [1, 3]
3426 U (-5, -13) [0, 2]
3427 L (-6, -13) [0, 2]
3428 D (-6, -14) [1, 3]
3429 R (-5, -14) [0, 4]
3430 D (-5, -15) [0, 2]
3431 L (-6, -15) [0, 2]
3432 U (-6, -14) [0, 4]
3433 L (-7, -14) [1, 3]
3434 U (-7, -13) [1, 1]
3435 L (-8, -13) [0, 0]
3436 D (-8, -14) [1, 1]
3437 R (-7, -14) [0, 4]
3438 D (-7, -15) [0, 2]
3439 R (-6, -15) [1, 3]
3440 U (-6, -14) [1, 5]
3441 L (-7, -14) [1, 5]
3442 D (-7, -15) [1, 3]
3443 R (-6, -15) [0, 4]
3444 U (-6, -14) [0, 6]
3445 L (-7, -14) [0, 6]
3446 U (-7, -13) [0, 2]
3447 L (-8, -13) [1, 1]
3448 D (-8, -14) [0, 2]
3449 L (-9, -14) [0, 0]
3450 D (-9, -15) [0, 0]
3451 R (-8, -15) [1, 1]
3452 D (-8, -16) [0, 0]
3453 R (-7, -16) [0, 0]
3454 D (-7, -17) [0, 0]
3455 L (-8, -17) [0, 0]
3456 U (-8, -16) [1, 1]
3457 L (-9, -16) [0, 0]
3458 D (-9, -17) [0, 0]
3459 L (-10, -17) [0, 0]
3460 U (-10, -16) [0, 0]
3461 R (-9, -16) [1, 1]
3462 D (-9, -17) [1, 1]
3463 R (-8, -17) [1, 1]
3464 U (-8, -16) [0, 2]
3465 R (-7, -16) [1, 1]
3466 U (-7, -15) [0, 4]
3467 L (-8, -15) [0, 2]
3468 U (-8, -14) [1, 3]
3469 L (-9, -14) [1, 1]
3470 D (-9, -15) [1, 1]
3471 R (-8, -15) [1, 3]
3472 D (-8, -16) [1, 3]
3473 L (-9, -16) [0, 2]
3474 D (-9, -17) [0, 2]
3475 L (-10, -17) [1, 1]
3476 U (-10, -16) [1, 1]
3477 L (-11, -16) [0, 0]
3478 U (-11, -15) [0, 0]
3479 L (-12, -15) [0, 0]
3480 D (-12, -16) [0, 0]
3481 R (-11, -16) [1, 1]
3482 D (-11, -17) [0, 0]
3483 R (-10, -17) [0, 2]
3484 D (-10, -18) [0, 0]
3485 L (-11, -18) [0, 0]
3486 D (-11, -19) [0, 0]
3487 R (-10, -19) [0, 0]
3488 D (-10, -20) [0, 0]
3489 L (-11, -20) [0, 0]
3490 U (-11, -19) [1, 1]
3491 L (-12, -19) [0, 0]
3492 D (-12, -20) [0, 0]
3493 L (-13, -20) [0, 0]
3494 U (-13, -19) [0, 0]
3495 R (-12, -19) [1, 1]
3496 U (-12, -18) [0, 0]
3497 R (-11, -18) [1, 1]
3498 U (-11, -17) [1, 1]
3499 L (-12, -17) [0, 0]
3500 U (-12, -16) [1, 1]
3501 R (-11, -16) [0, 2]
3502 D (-11, -17) [0, 2]
3503 L (-12, -17) [1, 1]
3504 D (-12, -18) [1, 1]
3505 R (-11, -18) [0, 2]
3506 U (-11, -17) [1, 3]
3507 L (-12, -17) [0, 2]
3508 D (-12, -18) [0, 2]
3509 R (-11, -18) [1, 3]
3510 U (-11, -17) [0, 4]
3511 L (-12, -17) [1, 3]
3512 D (-12, -18) [1, 3]
3513 R (-11, -18) [0, 4]
3514 U (-11, -17) [1, 5]
3515 R (-10, -17) [1, 3]
3516 U (-10, -16) [0, 2]
3517 L (-11, -16) [1, 3]
3518 D (-11, -17) [0, 6]
3519 L (-12, -17) [0, 4]
3520 D (-12, -18) [0, 4]
3521 L (-13, -18) [0, 0]
3522 D (-13, -19) [1, 1]
3523 L (-14, -19) [0, 0]
3524 U (-14, -18) [0, 0]
3525 L (-15, -18) [0, 0]
3526 D (-15, -19) [0, 0]
3527 L (-16, -19) [0, 0]
3528 D (-16, -20) [0, 0]
3529 L (-17, -20) [0, 0]
3530 U (-17, -19) [0, 0]
3531 R (-16, -19) [1, 1]
3532 U (-16, -18) [0, 0]
3533 L (-17, -18) [0, 0]
3534 U (-17, -17) [0, 0]
3535 R (-16, -17) [0, 0]
3536 D (-16, -18) [1, 1]
3537 R (-15, -18) [1, 1]
3538 U (-15, -17) [0, 0]
3539 R (-14, -17) [0, 0]
3540 D (-14, -18) [1, 1]
3541 R (-13, -18) [1, 1]
3542 D (-13, -19) [0, 2]
3543 L (-14, -19) [1, 1]
3544 D (-14, -20) [0, 0]
3545 L (-15, -20) [0, 0]
3546 U (-15, -19) [1, 1]
3547 R (-14, -19) [0, 2]
3548 U (-14, -18) [0, 2]
3549 R (-13, -18) [0, 2]
3550 D (-13, -19) [1, 3]
3551 L (-14, -19) [1, 3]
3552 U (-14, -18) [1, 3]
3553 L (-15, -18) [0, 2]
3554 D (-15, -19) [0, 2]
3555 L (-16, -19) [0, 2]
3556 U (-16, -18) [0, 2]
3557 L (-17, -18) [1, 1]
3558 D (-17, -19) [1, 1]
3559 R (-16, -19) [1, 3]
3560 U (-16, -18) [1, 3]
3561 R (-15, -18) [1, 3]
3562 D (-15, -19) [1, 3]
3563 L (-16, -19) [0, 4]
3564 U (-16, -18) [0, 4]
3565 R (-15, -18) [0, 4]
3566 D (-15, -19) [0, 4]
3567 L (-16, -19) [1, 5]
3568 U (-16, -18) [1, 5]
3569 R (-15, -18) [1, 5]
3570 D (-15, -19) [1, 5]
3571 L (-16, -19) [0, 6]
3572 D (-16, -20) [1, 1]
3573 L (-17, -20) [1, 1]
3574 D (-17, -21) [0, 0]
3575 L (-18, -21) [0, 0]
3576 U (-18, -20) [0, 0]
3577 R (-17, -20) [0, 2]
3578 U (-17, -19) [0, 2]
3579 L (-18, -19) [0, 0]
3580 D (-18, -20) [1, 1]
3581 L (-19, -20) [0, 0]
